date,timestamp,fear_greed,fear_greed_label,market_momentum,market_momentum_label,stock_strength,stock_strength_label,junk_bond,junk_bond_label,volatility,volatility_label,put_call,put_call_label,breadth,breadth_label,safe_haven,safe_haven_label
2026-04-08,2026-04-08T08:00:24.573375Z,,,,,,,,,,,,,,,,
2026-04-09,2026-04-09T06:11:58.382445Z,,,,,,,,,,,,,,,,
2026-04-10,2026-04-10T07:06:56.742614Z,,,,,,,,,,,,,,,,
2026-04-11,2026-04-11T05:43:38.479249Z,,,,,,,,,,,,,,,,
2026-04-12,2026-04-12T06:16:03.573060Z,,,,,,,,,,,,,,,,
2026-04-13,2026-04-13T07:29:31.096770Z,,,,,,,,,,,,,,,,
2026-04-14,2026-04-14T07:08:19.603661Z,,,,,,,,,,,,,,,,
2026-04-15,2026-04-15T07:09:08.178067Z,,,,,,,,,,,,,,,,
2026-04-16,2026-04-16T07:10:38.710297Z,,,,,,,,,,,,,,,,
2026-04-17,2026-04-17T07:10:31.087852Z,,,,,,,,,,,,,,,,
2026-04-18,2026-04-18T06:01:58.587127Z,,,,,,,,,,,,,,,,
2026-04-19,2026-04-19T06:54:42.623215Z,,,,,,,,,,,,,,,,
2026-04-20,2026-04-20T07:31:14.773490Z,,,,,,,,,,,,,,,,
2026-04-21,2026-04-21T07:12:25.138410Z,,,,,,,,,,,,,,,,
2026-04-22,2026-04-22T07:12:33.317048Z,,,,,,,,,,,,,,,,
2026-04-23,2026-04-23T07:15:07.310194Z,,,,,,,,,,,,,,,,
2026-04-24,2026-04-24T07:19:16.980723Z,,,,,,,,,,,,,,,,
2026-04-25,2026-04-25T06:11:47.151618Z,,,,,,,,,,,,,,,,
2026-04-26,2026-04-26T07:10:43.131928Z,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T09:31:39.381429Z,,,,,,,,,,,,,,,,
2026-04-28,2026-04-28T09:37:36.400845Z,,,,,,,,,,,,,,,,
2026-04-29,2026-04-29T09:23:29.425500Z,,,,,,,,,,,,,,,,
2026-04-30,2026-04-30T09:25:18.818784Z,,,,,,,,,,,,,,,,
2026-05-01,2026-05-01T08:30:12.433727Z,,,,,,,,,,,,,,,,
2026-05-02,2026-05-02T07:13:04.510774Z,,,,,,,,,,,,,,,,
2026-05-03,2026-05-03T08:17:34.719176Z,,,,,,,,,,,,,,,,
2026-05-04,2026-05-04T09:32:25.509622Z,,,,,,,,,,,,,,,,
2026-05-05,2026-05-05T08:36:49.773031Z,,,,,,,,,,,,,,,,
2026-05-06,2026-05-06T09:38:13.384650Z,,,,,,,,,,,,,,,,
2026-05-07,2026-05-07T10:09:08.402656Z,,,,,,,,,,,,,,,,
2026-05-08,2026-05-08T07:04:23.150455Z,,,,,,,,,,,,,,,,
2026-05-09,2026-05-09T04:23:18.990140Z,,,,,,,,,,,,,,,,
2026-05-10,2026-05-10T04:44:33.159064Z,,,,,,,,,,,,,,,,
2026-05-11,2026-05-11T04:58:27.791936Z,,,,,,,,,,,,,,,,
2026-05-12,2026-05-12T04:35:48.202409Z,,,,,,,,,,,,,,,,
